time_ms,ref_speed,actual_speed,pwm_value
482,0.00,0.00,0.00
493,0.00,0.00,0.00
504,0.00,0.00,0.00
515,0.00,0.00,0.00
526,0.00,0.00,0.00
537,0.00,0.00,0.00
548,0.00,0.00,0.00
559,0.00,0.00,0.00
570,0.00,0.00,0.00
581,0.00,0.00,0.00
592,0.00,0.00,0.00
604,0.00,0.00,0.00
614,0.00,0.00,0.00
625,0.00,0.00,0.00
636,0.00,0.00,0.00
647,0.00,0.00,0.00
659,0.00,0.00,0.00
669,0.00,0.00,0.00
681,0.00,0.00,0.00
692,0.00,0.00,0.00
703,0.00,0.00,0.00
713,0.00,0.00,0.00
724,0.00,0.00,0.00
735,0.00,0.00,0.00
746,0.00,0.00,0.00
758,0.00,0.00,0.00
769,0.00,0.00,0.00
780,0.00,0.00,0.00
790,0.00,0.00,0.00
801,0.00,0.00,0.00
813,0.00,0.00,0.00
824,0.00,0.00,0.00
835,0.00,0.00,0.00
846,0.00,0.00,0.00
856,0.00,0.00,0.00
868,0.00,0.00,0.00
879,0.00,0.00,0.00
889,0.00,0.00,0.00
900,0.00,0.00,0.00
911,0.00,0.00,0.00
922,0.00,0.00,0.00
933,0.00,0.00,0.00
945,0.00,0.00,0.00
955,0.00,0.00,0.00
966,0.00,0.00,0.00
977,0.00,0.00,0.00
988,0.00,0.00,0.00
999,0.00,0.00,0.00
1011,50.00,0.00,2000.00
1021,50.00,5.71,1771.43
1032,50.00,20.00,1200.00
1044,50.00,31.43,742.86
1055,50.00,37.14,514.29
1065,50.00,45.71,171.43
1077,50.00,45.71,171.43
1087,50.00,48.57,57.14
1098,50.00,48.57,57.14
1109,50.00,45.71,171.43
1121,50.00,45.71,171.43
1132,50.00,48.57,57.14
1144,50.00,45.71,171.43
1155,50.00,45.71,171.43
1166,50.00,45.71,171.43
1177,50.00,48.57,57.14
1187,50.00,45.71,171.43
1198,50.00,45.71,171.43
1209,50.00,45.71,171.43
1222,50.00,45.71,171.43
1232,50.00,48.57,57.14
1244,50.00,45.71,171.43
1255,50.00,45.71,171.43
