time_ms,ref_speed,actual_speed,pwm_value
185,0.00,0.00,0.00
196,0.00,0.00,0.00
207,0.00,0.00,0.00
218,0.00,0.00,0.00
230,0.00,0.00,0.00
240,0.00,0.00,0.00
251,0.00,0.00,0.00
262,0.00,0.00,0.00
274,0.00,0.00,0.00
284,0.00,0.00,0.00
295,0.00,0.00,0.00
306,0.00,0.00,0.00
318,0.00,0.00,0.00
328,0.00,0.00,0.00
339,0.00,0.00,0.00
350,0.00,0.00,0.00
361,0.00,0.00,0.00
372,0.00,0.00,0.00
383,0.00,0.00,0.00
394,0.00,0.00,0.00
406,0.00,0.00,0.00
416,0.00,0.00,0.00
427,0.00,0.00,0.00
439,0.00,0.00,0.00
449,0.00,0.00,0.00
460,0.00,0.00,0.00
471,0.00,0.00,0.00
482,0.00,0.00,0.00
493,0.00,0.00,0.00
504,0.00,0.00,0.00
515,0.00,0.00,0.00
527,0.00,0.00,0.00
537,0.00,0.00,0.00
548,0.00,0.00,0.00
559,0.00,0.00,0.00
570,0.00,0.00,0.00
581,0.00,0.00,0.00
592,0.00,0.00,0.00
604,0.00,0.00,0.00
614,0.00,0.00,0.00
625,0.00,0.00,0.00
636,0.00,0.00,0.00
647,0.00,0.00,0.00
659,0.00,0.00,0.00
669,0.00,0.00,0.00
680,0.00,0.00,0.00
691,0.00,0.00,0.00
702,0.00,0.00,0.00
714,0.00,0.00,0.00
724,0.00,0.00,0.00
735,0.00,0.00,0.00
746,0.00,0.00,0.00
757,0.00,0.00,0.00
769,0.00,0.00,0.00
779,0.00,0.00,0.00
791,0.00,0.00,0.00
802,0.00,0.00,0.00
812,0.00,0.00,0.00
823,0.00,0.00,0.00
834,0.00,0.00,0.00
845,0.00,0.00,0.00
856,0.00,0.00,0.00
868,0.00,0.00,0.00
878,0.00,0.00,0.00
889,0.00,0.00,0.00
900,0.00,0.00,0.00
911,0.00,0.00,0.00
922,0.00,0.00,0.00
934,0.00,0.00,0.00
944,0.00,0.00,0.00
955,0.00,0.00,0.00
966,0.00,0.00,0.00
977,0.00,0.00,0.00
989,0.00,0.00,0.00
999,0.00,0.00,0.00
1010,40.00,0.00,1600.00
1022,40.00,5.71,1371.43
1034,40.00,20.00,800.00
1046,40.00,28.57,457.14
1058,40.00,34.29,228.57
1071,40.00,31.43,342.86
1082,40.00,25.71,571.43
1094,40.00,31.43,342.86
1107,40.00,40.00,0.00
1118,40.00,42.86,-114.29
1130,40.00,22.86,685.71
1142,40.00,31.43,342.86
1154,40.00,37.14,114.29
1166,40.00,42.86,-114.29
1179,40.00,28.57,457.14
1190,40.00,31.43,342.86
1202,40.00,40.00,0.00
1214,40.00,40.00,0.00
1226,40.00,42.86,-114.29
1238,40.00,28.57,457.14
1251,40.00,31.43,342.86
1262,40.00,40.00,0.00
1275,40.00,40.00,0.00
1286,40.00,40.00,0.00
1298,40.00,40.00,0.00
1310,40.00,34.29,228.57
1322,40.00,40.00,0.00
1334,40.00,40.00,0.00
1346,40.00,40.00,0.00
1358,40.00,40.00,0.00
1370,40.00,34.29,228.57
1382,40.00,40.00,0.00
1395,40.00,40.00,0.00
1407,40.00,40.00,0.00
1418,40.00,40.00,0.00
1430,40.00,34.29,228.57
1442,40.00,40.00,0.00
1454,40.00,40.00,0.00
1466,40.00,40.00,0.00
1478,40.00,37.14,114.29
1490,40.00,40.00,0.00
1503,40.00,34.29,228.57
1514,40.00,40.00,0.00
1526,40.00,40.00,0.00
1539,40.00,40.00,0.00
1551,40.00,37.14,114.29
1562,40.00,37.14,114.29
1574,40.00,37.14,114.29
1586,40.00,37.14,114.29
1598,40.00,34.29,228.57
1610,40.00,40.00,0.00
1623,40.00,40.00,0.00
1634,40.00,37.14,114.29
1646,40.00,37.14,114.29
1658,40.00,37.14,114.29
1671,40.00,37.14,114.29
1682,40.00,37.14,114.29
1694,40.00,34.29,228.57
1707,40.00,40.00,0.00
1719,40.00,40.00,0.00
1730,40.00,37.14,114.29
1743,40.00,37.14,114.29
1754,40.00,37.14,114.29
1766,40.00,37.14,114.29
1778,40.00,37.14,114.29
1790,40.00,34.29,228.57
1802,40.00,40.00,0.00
1814,40.00,40.00,0.00
1826,40.00,40.00,0.00
1838,40.00,37.14,114.29
1850,40.00,37.14,114.29
1862,40.00,37.14,114.29
1874,40.00,37.14,114.29
1886,40.00,37.14,114.29
1898,40.00,34.29,228.57
1911,40.00,40.00,0.00
1922,40.00,40.00,0.00
1934,40.00,37.14,114.29
1947,40.00,37.14,114.29
1958,40.00,37.14,114.29
1971,40.00,37.14,114.29
1983,40.00,37.14,114.29
1994,40.00,34.29,228.57
2006,40.00,40.00,0.00
2018,40.00,40.00,0.00
2030,40.00,37.14,114.29
2043,40.00,37.14,114.29
2055,40.00,37.14,114.29
2066,40.00,37.14,114.29
2078,40.00,37.14,114.29
2090,40.00,34.29,228.57
2103,40.00,40.00,0.00
2115,40.00,40.00,0.00
2126,40.00,37.14,114.29
2138,40.00,40.00,0.00
2150,40.00,37.14,114.29
2162,40.00,37.14,114.29
2174,40.00,37.14,114.29
2186,40.00,34.29,228.57
2199,40.00,40.00,0.00
2211,40.00,40.00,0.00
2222,40.00,37.14,114.29
2235,40.00,37.14,114.29
2246,40.00,37.14,114.29
2258,40.00,37.14,114.29
2270,40.00,37.14,114.29
2282,40.00,34.29,228.57
2294,40.00,40.00,0.00
2306,40.00,40.00,0.00
2318,40.00,40.00,0.00
2330,40.00,37.14,114.29
2342,40.00,37.14,114.29
2355,40.00,37.14,114.29
2366,40.00,37.14,114.29
2378,40.00,37.14,114.29
2390,40.00,40.00,0.00
2402,40.00,40.00,0.00
2414,40.00,40.00,0.00
2427,40.00,37.14,114.29
2438,40.00,37.14,114.29
2451,40.00,37.14,114.29
2462,40.00,37.14,114.29
2474,40.00,37.14,114.29
2486,40.00,34.29,228.57
2498,40.00,40.00,0.00
2510,40.00,40.00,0.00
2523,40.00,37.14,114.29
2534,40.00,37.14,114.29
2546,40.00,37.14,114.29
2558,40.00,37.14,114.29
2570,40.00,37.14,114.29
2582,40.00,34.29,228.57
2594,40.00,40.00,0.00
2606,40.00,40.00,0.00
2619,40.00,40.00,0.00
2630,40.00,37.14,114.29
2643,40.00,37.14,114.29
2654,40.00,37.14,114.29
2666,40.00,37.14,114.29
2678,40.00,37.14,114.29
2690,40.00,40.00,0.00
2702,40.00,40.00,0.00
2714,40.00,40.00,0.00
2726,40.00,37.14,114.29
2739,40.00,37.14,114.29
2750,40.00,37.14,114.29
2763,40.00,37.14,114.29
2775,40.00,37.14,114.29
2786,40.00,34.29,228.57
2799,40.00,40.00,0.00
2810,40.00,40.00,0.00
2822,40.00,37.14,114.29
2834,40.00,37.14,114.29
2846,40.00,37.14,114.29
2858,40.00,37.14,114.29
2870,40.00,37.14,114.29
2882,40.00,34.29,228.57
2894,40.00,40.00,0.00
2906,40.00,40.00,0.00
2919,40.00,40.00,0.00
2930,40.00,37.14,114.29
2942,40.00,37.14,114.29
2954,40.00,37.14,114.29
2967,40.00,37.14,114.29
2979,40.00,37.14,114.29
2990,40.00,34.29,228.57
3002,40.00,40.00,0.00
3015,40.00,40.00,0.00
3027,40.00,40.00,0.00
3038,40.00,37.14,114.29
3050,40.00,37.14,114.29
3062,40.00,37.14,114.29
3074,40.00,34.29,228.57
3087,40.00,40.00,0.00
3099,40.00,40.00,0.00
3111,40.00,40.00,0.00
3122,40.00,37.14,114.29
3135,40.00,34.29,228.57
3146,40.00,40.00,0.00
3158,40.00,40.00,0.00
3170,40.00,37.14,114.29
3183,40.00,40.00,0.00
3195,40.00,34.29,228.57
3206,40.00,40.00,0.00
3219,40.00,40.00,0.00
3230,40.00,37.14,114.29
3243,40.00,40.00,0.00
3255,40.00,34.29,228.57
3266,40.00,40.00,0.00
3278,40.00,40.00,0.00
3290,40.00,37.14,114.29
3302,40.00,37.14,114.29
3315,40.00,37.14,114.29
3327,40.00,37.14,114.29
3338,40.00,37.14,114.29
3351,40.00,37.14,114.29
3362,40.00,34.29,228.57
3374,40.00,40.00,0.00
3386,40.00,40.00,0.00
3398,40.00,37.14,114.29
3410,40.00,37.14,114.29
3422,40.00,37.14,114.29
3434,40.00,37.14,114.29
3446,40.00,34.29,228.57
3458,40.00,40.00,0.00
3470,40.00,40.00,0.00
3482,40.00,37.14,114.29
3494,40.00,40.00,0.00
3506,40.00,37.14,114.29
3518,40.00,34.29,228.57
3531,40.00,40.00,0.00
3543,40.00,40.00,0.00
3554,40.00,37.14,114.29
3566,40.00,37.14,114.29
3578,40.00,37.14,114.29
3590,40.00,37.14,114.29
3602,40.00,37.14,114.29
3614,40.00,34.29,228.57
3626,40.00,40.00,0.00
3638,40.00,40.00,0.00
3651,40.00,37.14,114.29
3662,40.00,37.14,114.29
3675,40.00,37.14,114.29
3686,40.00,37.14,114.29
3698,40.00,37.14,114.29
3711,40.00,34.29,228.57
3722,40.00,40.00,0.00
3734,40.00,40.00,0.00
3746,40.00,40.00,0.00
3758,40.00,37.14,114.29
3770,40.00,37.14,114.29
3782,40.00,37.14,114.29
3794,40.00,37.14,114.29
3806,40.00,37.14,114.29
3818,40.00,34.29,228.57
3830,40.00,40.00,0.00
3843,40.00,40.00,0.00
3855,40.00,37.14,114.29
3867,40.00,37.14,114.29
3878,40.00,37.14,114.29
3891,40.00,37.14,114.29
3903,40.00,37.14,114.29
3914,40.00,34.29,228.57
3926,40.00,40.00,0.00
3938,40.00,40.00,0.00
3950,40.00,37.14,114.29
3962,40.00,37.14,114.29
3974,40.00,37.14,114.29
3987,40.00,37.14,114.29
3998,40.00,37.14,114.29
4010,40.00,40.00,0.00
4022,40.00,40.00,0.00
4034,40.00,40.00,0.00
4046,40.00,37.14,114.29
4059,40.00,37.14,114.29
4070,40.00,37.14,114.29
4083,40.00,37.14,114.29
4095,40.00,37.14,114.29
4107,40.00,37.14,114.29
4118,40.00,34.29,228.57
4130,40.00,40.00,0.00
4142,40.00,40.00,0.00
4154,40.00,37.14,114.29
4167,40.00,37.14,114.29
4178,40.00,37.14,114.29
4190,40.00,37.14,114.29
4202,40.00,34.29,228.57
4214,40.00,40.00,0.00
4226,40.00,40.00,0.00
4238,40.00,40.00,0.00
4250,40.00,37.14,114.29
4263,40.00,40.00,0.00
4275,40.00,34.29,228.57
4286,40.00,40.00,0.00
4299,40.00,40.00,0.00
4311,40.00,37.14,114.29
4322,40.00,37.14,114.29
4334,40.00,37.14,114.29
4346,40.00,37.14,114.29
4359,40.00,37.14,114.29
4370,40.00,34.29,228.57
4382,40.00,40.00,0.00
4394,40.00,40.00,0.00
4406,40.00,40.00,0.00
4419,40.00,37.14,114.29
4431,40.00,37.14,114.29
4442,40.00,37.14,114.29
4455,40.00,37.14,114.29
4466,40.00,37.14,114.29
4478,40.00,37.14,114.29
4490,40.00,40.00,0.00
4502,40.00,40.00,0.00
4514,40.00,40.00,0.00
4526,40.00,37.14,114.29
4538,40.00,37.14,114.29
4550,40.00,37.14,114.29
4563,40.00,37.14,114.29
4575,40.00,37.14,114.29
4587,40.00,34.29,228.57
4598,40.00,40.00,0.00
4610,40.00,40.00,0.00
4622,40.00,37.14,114.29
4634,40.00,37.14,114.29
4646,40.00,37.14,114.29
4658,40.00,37.14,114.29
4670,40.00,37.14,114.29
4682,40.00,34.29,228.57
4694,40.00,40.00,0.00
4707,40.00,40.00,0.00
4719,40.00,40.00,0.00
4730,40.00,37.14,114.29
4743,40.00,37.14,114.29
4754,40.00,37.14,114.29
4767,40.00,37.14,114.29
4778,40.00,37.14,114.29
4790,40.00,40.00,0.00
4802,40.00,40.00,0.00
4814,40.00,40.00,0.00
4826,40.00,37.14,114.29
4838,40.00,37.14,114.29
4850,40.00,37.14,114.29
4863,40.00,37.14,114.29
4875,40.00,37.14,114.29
4886,40.00,34.29,228.57
4899,40.00,40.00,0.00
4910,40.00,40.00,0.00
4922,40.00,37.14,114.29
4935,40.00,37.14,114.29
4946,40.00,37.14,114.29
4958,40.00,37.14,114.29
4970,40.00,37.14,114.29
4982,40.00,37.14,114.29
4994,40.00,34.29,228.57
5006,40.00,40.00,0.00
5018,40.00,40.00,0.00
5030,40.00,37.14,114.29
5042,40.00,37.14,114.29
5054,40.00,37.14,114.29
5066,40.00,37.14,114.29
5078,40.00,37.14,114.29
5091,40.00,40.00,0.00
5102,40.00,40.00,0.00
5115,40.00,40.00,0.00
5126,40.00,37.14,114.29
5139,40.00,37.14,114.29
5151,40.00,37.14,114.29
5163,40.00,37.14,114.29
5175,40.00,37.14,114.29
5186,40.00,37.14,114.29
5199,40.00,34.29,228.57
5210,40.00,40.00,0.00
5222,40.00,40.00,0.00
5234,40.00,37.14,114.29
5246,40.00,37.14,114.29
5258,40.00,37.14,114.29
5270,40.00,37.14,114.29
5282,40.00,37.14,114.29
5294,40.00,34.29,228.57
5306,40.00,40.00,0.00
5318,40.00,40.00,0.00
5330,40.00,37.14,114.29
5342,40.00,37.14,114.29
5354,40.00,37.14,114.29
5366,40.00,37.14,114.29
5379,40.00,37.14,114.29
5390,40.00,37.14,114.29
5403,40.00,34.29,228.57
5414,40.00,40.00,0.00
5426,40.00,40.00,0.00
5438,40.00,40.00,0.00
5450,40.00,37.14,114.29
5462,40.00,37.14,114.29
5474,40.00,37.14,114.29
5486,40.00,37.14,114.29
5498,40.00,34.29,228.57
5510,40.00,40.00,0.00
5522,40.00,40.00,0.00
5534,40.00,37.14,114.29
5546,40.00,40.00,0.00
5558,40.00,37.14,114.29
5570,40.00,40.00,0.00
5582,40.00,40.00,0.00
5594,40.00,40.00,0.00
5606,40.00,37.14,114.29
5618,40.00,37.14,114.29
5630,40.00,37.14,114.29
5642,40.00,37.14,114.29
5654,40.00,37.14,114.29
5666,40.00,34.29,228.57
5678,40.00,40.00,0.00
5690,40.00,40.00,0.00
5703,40.00,37.14,114.29
5714,40.00,37.14,114.29
5727,40.00,37.14,114.29
5738,40.00,37.14,114.29
5750,40.00,37.14,114.29
5762,40.00,37.14,114.29
5774,40.00,34.29,228.57
5786,40.00,40.00,0.00
5799,40.00,40.00,0.00
5811,40.00,37.14,114.29
5822,40.00,37.14,114.29
5834,40.00,37.14,114.29
5846,40.00,37.14,114.29
5858,40.00,37.14,114.29
5870,40.00,40.00,0.00
5883,40.00,40.00,0.00
5894,40.00,40.00,0.00
5907,40.00,37.14,114.29
5918,40.00,37.14,114.29
5930,40.00,37.14,114.29
5942,40.00,37.14,114.29
5954,40.00,37.14,114.29
5966,40.00,37.14,114.29
5978,40.00,34.29,228.57
5990,40.00,40.00,0.00
6002,40.00,40.00,0.00
6014,40.00,37.14,114.29
6027,40.00,37.14,114.29
6038,40.00,37.14,114.29
6050,40.00,37.14,114.29
6062,40.00,37.14,114.29
6074,40.00,34.29,228.57
6086,40.00,40.00,0.00
6098,40.00,40.00,0.00
6110,40.00,37.14,114.29
6122,40.00,37.14,114.29
6135,40.00,37.14,114.29
6146,40.00,37.14,114.29
6159,40.00,37.14,114.29
6171,40.00,37.14,114.29
6182,40.00,34.29,228.57
6195,40.00,40.00,0.00
6207,40.00,40.00,0.00
6218,40.00,40.00,0.00
6230,40.00,37.14,114.29
6242,40.00,37.14,114.29
6254,40.00,37.14,114.29
6266,40.00,37.14,114.29
6279,40.00,34.29,228.57
6290,40.00,40.00,0.00
